Country,Continent,Beverage_Types,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,Asia,All types,,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0,0
Afghanistan,Asia,Beer,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0,0,0
Afghanistan,Asia,Wine,,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0
Afghanistan,Asia,Spirits,,0,0,0,0,0,0.02,0,0.01,0.01,0,0.01,0,0,0
Afghanistan,Asia,Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Europe,All types,4.51,4.76,5.14,5.37,5.28,5.79,5.61,5.58,5.31,5.16,4.54,4.29,3.73,4.25,3.66
Albania,Europe,Beer,1.45,1.68,1.68,1.76,1.61,2.08,2.03,1.86,1.73,1.59,1.33,1.39,1.23,1.42,1.26
Albania,Europe,Wine,1.14,1.08,1.33,1.29,1.32,1.3,1.22,1.36,1.29,1.34,1.07,0.77,0.41,0.81,0.43
Albania,Europe,Spirits,1.85,1.92,2.05,2.23,2.23,2.3,2.26,2.26,2.19,2.14,2.06,2.13,2.09,2.02,1.96
Albania,Europe,Other alcoholic beverages,0.08,0.08,0.09,0.09,0.11,0.11,0.1,0.1,0.1,0.09,0.08,0,0,0,0
Algeria,Africa,All types,,0.53,0.66,0.56,0.45,0.5,0.46,0.44,0.36,0.5,0.45,0.34,0.36,0.23,0.25
Algeria,Africa,Beer,,0.25,0.22,0.2,0.17,0.2,0.2,0.16,0.17,0.29,0.24,0.2,0.17,0.1,0.12
Algeria,Africa,Wine,,0.22,0.36,0.3,0.23,0.28,0.23,0.25,0.17,0.19,0.19,0.12,0.18,0.12,0.13
Algeria,Africa,Spirits,,0.1,0.07,0.06,0.04,0.04,0.02,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0
Algeria,Africa,Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,Europe,All types,,9.98,10.28,10.57,10.6,10.9,11.02,11.57,11.92,12,12.16,12.37,12.63,11.59,12.36
Andorra,Europe,Beer,,3.1,3.26,3.27,3.54,3.59,3.56,3.7,3.78,3.64,3.37,3.38,3.21,3.29,3.25
Andorra,Europe,Wine,,4.29,4.42,4.52,4.39,4.6,4.62,4.93,5.15,5.42,5.95,6.05,6.27,6.13,6.36
Andorra,Europe,Spirits,,2.59,2.6,2.78,2.68,2.72,2.84,2.94,2.99,2.94,2.84,2.94,3.15,2.18,2.76
Andorra,Europe,Other alcoholic beverages,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Africa,All types,8.33,8.1,8.24,8.06,7.8,7.01,7.07,6.35,5.84,5.04,3.53,3.49,2.82,2.58,1.85
Angola,Africa,Beer,5.48,5.42,5.58,5.37,5.12,4.75,3.92,3.48,3.26,2.86,1.72,1.57,1.56,1.41,1.07
Angola,Africa,Wine,1.32,1.44,2.11,2.07,1.95,1.86,2.81,2.55,2.48,2.09,1.58,1.42,0.8,0.72,0.4
Angola,Africa,Spirits,1.47,1.18,0.53,0.59,0.64,0.36,0.32,0.3,0.09,0.08,0.22,0.49,0.47,0.45,0.38
